City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bambous virieux,-20.3428,57.7575,298.29,88,40,3.09,MU,1675219689
1,tecpan,14.7623,-90.9947,281.85,77,6,2.13,GT,1675220069
2,the valley,18.217,-63.0578,297.65,68,0,8.09,AI,1675219640
3,longyearbyen,78.2186,15.6401,264.06,67,20,6.69,SJ,1675219718
4,qaanaaq,77.484,-69.3632,251.66,47,84,3.35,GL,1675219648
5,bredasdorp,-34.5322,20.0403,291.37,95,12,1.99,ZA,1675219341
6,kaitangata,-46.2817,169.8464,293.32,76,99,3.55,NZ,1675219653
7,labuhan,-6.8844,112.2051,300.86,76,100,3.42,ID,1675219754
8,saskylakh,71.9167,114.0833,244.25,98,100,6.32,RU,1675219721
9,hofn,64.2539,-15.2082,270.69,65,95,5.97,IS,1675219743
10,tifton,31.4505,-83.5085,292.34,99,92,2.31,US,1675220070
11,belyy yar,53.6039,91.3903,255.09,85,40,0.0,RU,1675219846
12,saint-georges,12.0564,-61.7485,295.97,88,20,1.03,GD,1675220070
13,hobart,-42.8794,147.3294,290.52,67,88,1.79,AU,1675219499
14,makhachkala,42.9764,47.5024,277.14,93,99,2.97,RU,1675220071
15,rawson,-43.3002,-65.1023,289.16,57,0,8.76,AR,1675219430
16,cape town,-33.9258,18.4232,295.58,81,0,4.63,ZA,1675220072
17,port alfred,-33.5906,26.891,292.14,96,5,2.17,ZA,1675220012
18,kupang,-10.1667,123.5833,300.47,89,75,2.06,ID,1675219949
19,tual,-5.6667,132.75,301.54,75,81,5.1,ID,1675219808
20,yellowknife,62.456,-114.3525,241.44,68,20,5.14,CA,1675220074
21,vaini,-21.2,-175.2,301.24,89,75,4.63,TO,1675219985
22,tuktoyaktuk,69.4541,-133.0374,235.15,67,20,2.06,CA,1675219837
23,puerto ayora,-0.7393,-90.3518,298.46,88,78,2.23,EC,1675220069
24,aykhal,66.0,111.5,240.08,100,63,2.54,RU,1675219879
25,bereda,43.2686,-7.5406,272.12,100,29,1.37,ES,1675220078
26,tiksi,71.6872,128.8694,255.2,98,100,3.82,RU,1675220078
27,busselton,-33.65,115.3333,297.55,38,0,5.75,AU,1675219953
28,rikitea,-23.1203,-134.9692,299.38,69,4,6.32,PF,1675219787
29,albany,42.6001,-73.9662,267.16,64,96,1.89,US,1675219892
30,flin flon,54.7682,-101.865,240.24,100,65,1.51,CA,1675219894
31,codrington,-38.2667,141.9667,289.54,47,100,5.97,AU,1675220011
